Listing Name,Rent Price (Yearly),Location,Listing Type,Square Feet,Bed,Bath
ONE MONTH FREE |PHASE 3 VILLA | FREE MAINTENANCE,"165,000","Cedre Villas, Dubai Silicon Oasis, Dubai",Villa,"3,831 sqft",4,5
mazing 2 Bedroom Unfurnished Apartment for Rent Al Sahab 2,"110,000","Al Sahab Tower 2, Al Sahab Tower, Dubai Marina, Dubai",Apartment,"1,200 sqft",2,2
Multi Cheques | Spacious | Maids | Well Maintained,"85,000","Mirabella 6, Mirabella, Jumeirah Village Circle (JVC), Dubai",Townhouse,"1,400 sqft",3,5
Special Offer | 1 months Free | 1 Bedroom Apartment for RENT | Al Barsha -Near Metro,"55,000","Al Barsha 1, Al Barsha, Dubai",Apartment,934 sqft,1,2
1 Month Free  5 Bedroom + Maids Room with Private Pool Available for Rent,"195,000","Umm Suqeim 2, Umm Suqeim, Dubai",Villa,"4,972 sqft",5,6
Springs Type 1E - 3 Bed plus maid and Study  Landscaped Garden-HL,"155,000","The Springs 15, The Springs, Dubai",Villa,"2,900 sqft",3,3
3 Bed plus Study Type 3E  Park View in Arabian Ranches-HL,"125,000","Al Reem 3, Al Reem, Arabian Ranches, Dubai",Villa,"2,400 sqft",3,3
"Front of Metro, Brand New 2BHK just 70K,, With Maids Room","70,000","Al Jaddaf, Bur Dubai, Dubai",Apartment,"1,680 sqft",2,4
Fully Furnished I Golf course & Lake Views I Well maintained,"105,000","Tamweel Tower, Jumeirah Lake Towers (JLT), Dubai",Apartment,"1,570 sqft",2,3
Amazing Fully Furnished 2BHK  ( Rent Inclusive all the monthly Utilities ),"95,000","Al Manara Tower, Jumeirah Village Triangle (JVT), Dubai",Apartment,"1,700 sqft",2,3
3BR!!!Brand new Townhouse villa for rent in Arabella in 120000,"120,000","Arabella Townhouses, Mudon, Dubai",Villa,"2,997 sqft",3,5
"2bed in Torch for 85k, unfurnished!","85,000","The Torch, Dubai Marina, Dubai",Apartment,"1,258 sqft",2,2
5 Bedroom | Brand New Luxurious Villa,"500,000","Marina Gate, Dubai Marina, Dubai",Villa,"5,479 sqft",5,6
Studio flat for rent | Trafalgar tower Cbd,"26,000","Trafalgar Central, International City, Dubai",Apartment,480 sqft,null,1
"No commission, Spacious, Independent 5-bedroom villa","240,000","Jumeirah 1, Jumeirah, Dubai",Villa,"4,000 sqft",5,7
Direct owner 3 bedroom villa in a 14-villa compound,"125,000","Jumeirah 3, Jumeirah, Dubai",Villa,"1,500 sqft",3,4
FAIRWAYS EAST LUXURY 1BR FULL LAKE VIEW,"100,000","The Fairways East, The Fairways, The Views, Dubai",Apartment,845 sqft,1,2
Exclusive Fully Furnished Brand New 2 BHK,"120,000","Paramount Tower 1, Paramount Towers, Business Bay, Dubai",Apartment,"1,400 sqft",2,2
STUNNING 1 BEDROOM APARTMENT,"65,000","Reef Residence, Jumeirah Village Circle (JVC), Dubai",Apartment,900 sqft,1,2
MODERN TOWNHOUSE | FREE ONE MONTH | FREE MAINTENANCE,"155,000","Cedre Villas, Dubai Silicon Oasis, Dubai",Villa,"4,036 sqft",3,4
A Nice Studio Available for Rent in Dubai Lands 13 Months Contract   No Chiller,"29,000","4Direction Residence 1, Dubai Residence Complex, Dubai",Apartment,550 sqft,null,1
TRADITIONAL TWIN VILLA| FREE ONE MONTH | FREE MAINTENANCE,"165,000","Cedre Villas, Dubai Silicon Oasis, Dubai",Villa,"3,910 sqft",4,5
Magnificent Corner Villa 5 BHK Type VD1-Whitefield,"220,000","Whitefield, DAMAC Hills (Akoya by DAMAC), Dubai",Villa,"5,160 sqft",5,6
ONE MONTH FREE! GRAB THIS OFFER,"78,000","Al Dhafrah 2, Al Dhafrah, The Greens, Dubai",Apartment,"1,007 sqft",1,1
Elegant Gorgeous 3 BR + Maid Villa in Jumeirah 3,"185,000","Jumeirah 2, Jumeirah, Dubai",Villa,"2,500 sqft",3,3
Full Sea View High Floor Unit Amwaj 4,"110,000","Amwaj 4, Amwaj, Jumeirah Beach Residence (JBR), Dubai",Apartment,"1,382 sqft",2,3
"4BR (Type 3M) Townhouse,Ready to move , Mapl","140,000","Maple At Dubai Hills Estate 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai",Villa,"2,465 sqft",4,4
Cheapest Brand New 5 Bed Plus Maid At Akoya Oxygen,"95,000","Aurum Villas, Akoya Oxygen, Dubai",Townhouse,"2,600 sqft",5,5
Unfur| chiller free|view sheikh Zayed Burj Khalifa,"79,999","Burj Khalifa, Downtown Dubai, Dubai",Apartment,600 sqft,null,1
TRADITIONAL TWIN VILLA | FREE ONE MONTH AND FREE MAINTENANCE,"165,000","Cedre Villas, Dubai Silicon Oasis, Dubai",Villa,"3,832 sqft",4,5
BEST OFFER 1BHK 8 MINUTES BY BUS TO DAFZA METRO BALCONY WARDROBES IN 36K,"36,000","Al Qusais 1, Al Qusais Residential Area, Al Qusais, Dubai",Apartment,900 sqft,1,2
Free 1 month | Free Maintenance | Large 3 BR Villa,"155,000","Cedre Villas, Dubai Silicon Oasis, Dubai",Villa,"4,036 sqft",3,3
Canal View | Fully Furnished | 1Cheaque,"68,000","Churchill Residence, Business Bay, Dubai",Apartment,"1,024 sqft",1,1
Magnificent Art Deco Style Family Home On Quiet Street,"180,000","Al Barsha 3, Al Barsha, Dubai",Villa,"7,500 sqft",5,6
1600 Sqf | Brand New Corner Unit | AC Free | Mulberry @ Dubai Hills,"95,000","Mulberry, Park Heights, Dubai Hills Estate, Dubai",Apartment,"1,598 sqft",2,3
DIRECT FRM OWNER 2BR FLAT @ AL RAFFA-MANKHOOL,"68,000","Al Raffa, Bur Dubai, Dubai",Apartment,"1,300 sqft",2,3
Studio with balcony apt# availible for rent,"20,000","Persia Cluster, International City, Dubai",Apartment,484 sqft,null,1
3BR+M | TRADITIONAL TYPE | FREE 30 DAYS +MAINTENANCE,"155,000","Cedre Villas, Dubai Silicon Oasis, Dubai",Villa,"3,860 sqft",3,4
Huge Studio in Diamond Views 3 at  JVC,"32,000","Diamond Views III, Diamond Views , Jumeirah Village Circle (JVC), Dubai",Apartment,500 sqft,null,1
Best Deal Fully Furnished 1 B/Room in Meydan,"60,000","Meydan Avenue, Meydan City, Dubai",Apartment,830 sqft,1,2
High Floor | furnished | Full services,"140,000","DAMAC Towers by Paramount Hotels and Resorts, Business Bay, Dubai",Apartment,"1,743 sqft",3,3
Huge & Spacious | 1 Bed Room | Brand New,"41,999","Roxana Residences, Jumeirah Village Circle (JVC), Dubai",Apartment,900 sqft,1,2
"No Commission, 1 Month Free, 3 BR Ghoroob","93,409","Ghoroob Mirdif, Mirdif, Dubai",Apartment,"1,861 sqft",3,4
"DIRECT OWNER 2 BR @ AL DANA BUILDING, WARQA - 1","50,000","Al Warqaa 1, Al Warqaa, Dubai",Apartment,"1,200 sqft",2,3
Hge & Spacious | 1 Bed Room | ONE Month Free,"39,999","Tuscan Residence, Jumeirah Village Circle (JVC), Dubai",Apartment,950 sqft,1,2
Bright Spacious Apartrment for Rent in Tecom,"52,000","Al Meer Tower, Barsha Heights (Tecom), Dubai",Apartment,850 sqft,1,2
Big Garden | Jumeirah 3 | Maintenance Included,"160,000","Jumeirah 3, Jumeirah, Dubai",Villa,"5,000 sqft",5,5
Beautiful 1BR | Canal view | Multiple Options,"69,999","Noora, Al Habtoor City, Business Bay, Dubai",Apartment,947 sqft,1,1
Summer offer - no commission!,"280,000","Anantara Residences, Palm Jumeirah, Dubai",Apartment,"1,765 sqft",2,3
Twin  Villa | FREE One Month Rent + FREE Maintenance,"155,000","Cedre Villas, Dubai Silicon Oasis, Dubai",Villa,"3,850 sqft",3,4
"MB- 4 bedrooms plus maid , best deal","80,000","Claret, Akoya Oxygen, Dubai",Villa,"2,250 sqft",4,4
"For just 58k, you will encounter the most agreeable and advantageous loft with 1 room and 2 full washroom! Simply get it","58,000","Laya Residences, Jumeirah Village Circle (JVC), Dubai",Apartment,"1,000 sqft",1,2
Corner Villa | Tranquil Community | Brand New 3 BR + Maid's Room,"75,000","Claret, Akoya Oxygen, Dubai",Villa,"2,093 sqft",3,5
Semi Furnished Luxury 1 Bhk NO COMMISSION 52k 6chq,"52,000","Binghatti Pearls, Dubai Silicon Oasis, Dubai",Apartment,"1,050 sqft",1,2
"Fully Serviced,  Summer offer - no commission!","185,000","Anantara Residences, Palm Jumeirah, Dubai",Apartment,"1,162 sqft",1,2
Amazing I Huge Spacious I Well Maintained I Townhouse,"180,000","Golden Mile 3, Golden Mile, Palm Jumeirah, Dubai",Townhouse,"3,720 sqft",3,3
Weekend Open House ! Perfect 3 BR Villa | Ready to move in !,"155,000","Cedre Villas, Dubai Silicon Oasis, Dubai",Villa,"3,892 sqft",3,3
Immaculate | Very Cozy | Perfect Family Building |,"85,000","AKA Residence, Jumeirah Village Circle (JVC), Dubai",Apartment,"1,440 sqft",2,2
"DIRECT ONWER STUDIO WITH BALCONY @ BARAHA, DEIRA","20,000","Al Baraha, Deira, Dubai",Apartment,300 sqft,null,1
4 Bedroom Villa for Rent In Mirdif,"105,000","Uptown Mirdif, Mirdif, Dubai",Villa,"3,000 sqft",4,3
Fully Furnished | Burj Khalifa and Fountain Views,"500,000","The Address The Blvd, Downtown Dubai, Dubai",Apartment,"2,608 sqft",4,5
Spacious and Modern 1BR Fully Furnished Apartment in JVC,"70,000","Al Sima Tower, District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,740 sqft,1,1
Fully Furnished Brand New  Cozy Studio Apt in Al Sima Tower JVC,"51,000","Al Sima Tower, District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,446 sqft,null,1
Brand New|Ready to Move in| 1BR | Multiple Options,"65,000","Mulberry, Park Heights, Dubai Hills Estate, Dubai",Apartment,999 sqft,1,1
Keys in Hands | Vacant | Park View |3BR+M,"118,999","Mulberry, Park Heights, Dubai Hills Estate, Dubai",Apartment,"1,969 sqft",3,3
Comfort Living in Creek |1 BR w/ Balcony,"65,000","Dubai Creek Residence Tower 1 South, Dubai Creek Harbour, The Lagoons, Dubai",Apartment,881 sqft,1,1
"Furnished, Higher Floor Hotel Apartment | Ghalia Constella","65,000","Ghalia Constella, Jumeirah Village Circle (JVC), Dubai",Hotel Apartment,777 sqft,1,2
Fantastic Offer! 1 Bed Balcony w/ Spectacular Courtyard View Direct to Owner,"80,000","La Plage, Jumeirah 2, Jumeirah, Dubai",Apartment,753 sqft,1,2
Biggest 3 Bhk+M in executive tower M,"120,000","Executive Tower M (West Heights 1), Executive Towers, Business Bay, Dubai",Apartment,"2,200 sqft",3,4
Spacious 1bhk with maid Room and 2 Full Washrooms near to JSS School !! Call Now For Viewing !!,"57,999","Laya Residences, Jumeirah Village Circle (JVC), Dubai",Apartment,"1,150 sqft",1,2
4 Br Villa | A Perfect Family Home | Free AMC | 1 Mth Free,"165,000","Cedre Villas, Dubai Silicon Oasis, Dubai",Villa,"3,900 sqft",4,4
Luxury Furnished 2BR in JVC | Payable in 2 cheques | On High Floor,"75,000","Ghalia Constella, Jumeirah Village Circle (JVC), Dubai",Apartment,"1,202 sqft",2,2
Fully Furnished | With  Balcony | Large Size Studio | Lincoln Park-Arjan| 12 cheq Possible,"34,000","Lincoln Park, Arjan, Dubai",Apartment,600 sqft,null,1
MB-Full Golf Course 2 Bedrooms For Rent at Damac hills,"90,000","Golf Horizon, DAMAC Hills (Akoya by DAMAC), Dubai",Apartment,"1,500 sqft",2,4
Hot Offer !! Pack Your Bag Move in This Beautiful Fully Furnished 1bhk !! Pool View !! Best Amenities,"55,000","Orchidea Residence, Jumeirah Village Circle (JVC), Dubai",Apartment,900 sqft,1,2
"Private Pool, Single Row, Luxury Furnishing, Maintained Garden,","245,000","Legacy Large, Legacy, Jumeirah Park, Dubai",Villa,"4,600 sqft",4,6
"Near Metro/Tram, Free AC Charges,Dubai Marina","50,000","Dream Tower 2, Dream Towers, Dubai Marina, Dubai",Apartment,700 sqft,1,1
Luxurious and Elegant 3 BR Apartment For Rent,"260,000","Vida Residence Downtown, Downtown Dubai, Dubai",Apartment,"1,920 sqft",3,4
Furnished 1BR with Pool View | Great Location,"75,000","The Jewel Tower A, The Jewels, Dubai Marina, Dubai",Apartment,"1,072 sqft",1,2
With Parking 1 Bedroom Axis Tower Silicon Oasis,"38,000","Axis 8, Axis Residence, Dubai Silicon Oasis, Dubai",Apartment,890 sqft,1,2
Corner | Vacant | Next to park | Excellent Garden,"135,000","Dubai Style, Al Furjan, Dubai",Villa,"3,080 sqft",3,4
"Live in the heart of JVC - Huge 1 Bed + Terrace Apt | Price starting from 55,000*","55,000","Al Sima Tower, District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,740 sqft,1,2
Semi Furnished|1 bedroom|Beautiful Sea View,"92,000","Paloma, Marina Promenade, Dubai Marina, Dubai",Apartment,891 sqft,1,2
Beautiful 1 Bedroom Apt with lake view in The views,"100,000","The Fairways East, The Fairways, The Views, Dubai",Apartment,847 sqft,1,2
13 Months Contract | FREE Maintenance | 4Br Villa,"165,000","Cedre Villas, Dubai Silicon Oasis, Dubai",Villa,"3,850 sqft",4,5
"1BR+Storage | Starts from AED 55,000*  - Brand New Building in JVC","55,000","Al Sima Tower, District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,740 sqft,1,1
"Fantastic & Huge 1 bedroom+Garden  located in District 11, JVC","60,000","Al Sima Tower, District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,"1,243 sqft",1,2
Brand new landscaped townhouse with warranty,"90,000","Bella Casa, Serena, Dubai",Townhouse,"1,860 sqft",2,3
Spacious  & Extra Ordinary Bright 2 BHK With Very Nice View in Laguna Tower,"110,000","Laguna Movenpick Tower, Jumeirah Lake Towers (JLT), Dubai",Apartment,"2,006 sqft",2,4
Brand New | 1 Bed Apt | Mulberry at Park Heights,"75,000","Mulberry, Park Heights, Dubai Hills Estate, Dubai",Apartment,873 sqft,1,2
Brand New 2bhk Apartment !! Luxurious Amenities !! Ready To Move in,"80,000","Joya Verde Residences, Jumeirah Village Circle (JVC), Dubai",Apartment,"1,500 sqft",2,3
Partitioned Studio with Fully Fitted Kitchen only on 40K/year,"40,000","Villa Myra, Jumeirah Village Circle (JVC), Dubai",Apartment,550 sqft,null,1
35k|British Managed|Chiller Free |Ready to move in,"35,000","Cricket Tower, Dubai Sports City, Dubai",Apartment,600 sqft,1,2
5 Bed Mansion | Perfect condition | Ready to Move,"399,999","The Mansions, Jumeirah Islands, Dubai",Villa,"13,987 sqft",5,5
"MH-70K IN 1 CHEQS ,BIG 2 BED  FOR RENT IN JLT ,LAKE SIDE RESIDENCE TOWER BY DAMA","70,000","Lakeside Residence, Jumeirah Lake Towers (JLT), Dubai",Apartment,"1,438 sqft",2,3
Biggest 1 Bedroom with Balcony & SkyViews,"110,000","Index Tower, DIFC, Dubai",Apartment,968 sqft,1,2
Golf View 2 Bedroom Unfurnished Apartment,"56,000","Frankfurt Sports Tower, Dubai Sports City, Dubai",Apartment,"1,551 sqft",2,3
Spacious Studio|Well Maintained|Amazing deal|Burj Khalifa,"82,000","Burj Khalifa, Downtown Dubai, Dubai",Apartment,538 sqft,null,1
Special Offer 1 month rent free and free maintainance,"155,000","Cedre Villas, Dubai Silicon Oasis, Dubai",Villa,"4,036 sqft",3,3
PRIME LOCATION 2BHK BIG SIZE FOR SHARING,"84,000","Rigga Road, Al Rigga, Deira, Dubai",Apartment,"2,400 sqft",2,2
Magnificent and  Spectacular But Affordable Family Residence,"260,000","Al Barsha 3, Al Barsha, Dubai",Villa,"7,500 sqft",5,8
Hot Deal | Low rent | 4 Bed Independent Villa + PVT Pool | USQ 1,"175,000","Umm Suqeim 1, Umm Suqeim, Dubai",Villa,"4,000 sqft",4,3
1 Month Free 12 Cheques Allowed in Villa Community,"85,000","Layan, Dubailand, Dubai",Townhouse,"1,795 sqft",2,3
Open Unit | Spacious and Excellent Layout |  Brand New Apartment in JVC,"55,000","Al Sima Tower, District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,984 sqft,1,1
BEST PRICE for Spacious Canal view 2 Bedroom for rent Downtown Dubai,"79,000","Burj Al Nujoom, Downtown Dubai, Dubai",Apartment,"1,440 sqft",2,3
Fantastic Views | Spacious and Bright | Brand New,"140,000","Park Heights, Dubai Hills Estate, Dubai",Apartment,"1,638 sqft",3,5
Beautiful Marina View 1BR + Study|Bright and Spacious|Well Maintained,"89,999","Al Majara 1, Al Majara, Dubai Marina, Dubai",Apartment,950 sqft,1,1
Amazing 1 BR Close to Dubai Mall and Burj Khalifa,"72,000","8 Boulevard Walk, Mohammad Bin Rashid Boulevard, Downtown Dubai, Dubai",Apartment,"1,063 sqft",1,2
Timeless Elegance and Elite Residence in the Heart of Dubai,"319,999","Al Barsha 3, Al Barsha, Dubai",Villa,"7,100 sqft",5,6
Beautiful 2BR | Budgeted  Apartments for Rent in Silicon Oasis,"68,000","Tulip Oasis 3, Dubai Silicon Oasis, Dubai",Apartment,"1,200 sqft",2,3
Fully Upgraded Villa 4 Bed Lush Garden BBQ Gazebo,"205,000","Alvorada 2, Alvorada, Arabian Ranches, Dubai",Villa,"4,300 sqft",4,5
High Floor | 3 Beds Penthouse | Sea view in the Torch Tower,"195,000","The Torch, Dubai Marina, Dubai",Penthouse,"4,032 sqft",3,5
VIP Only! Quality w/Style Single Row Park,"274,990","The Haciendas, The Villa, Dubai",Villa,"8,000 sqft",5,6
Upgraded villa | 5bed | Private garden,"230,000","The Meadows 2, The Meadows, Dubai",Villa,"3,850 sqft",5,4
BEST DEAL!! U Type 1 Bedroom in Street 9 Near to Bus Stop and Carrefour,"43,000","Mogul, Discovery Gardens, Dubai",Apartment,950 sqft,1,2
Beautiful G+1 4BR TH With Maid | Book Now,"130,000","Garden Lane Villas, Jumeirah Village Circle (JVC), Dubai",Townhouse,"4,256 sqft",4,6
Stunning 2BR With Maid Townhouse With Gym & Pool,"95,000","Diamond Views I, Diamond Views , Jumeirah Village Circle (JVC), Dubai",Townhouse,"2,680 sqft",2,4
"Brand New 1BHK Ground Floor with Amazing Private Garden, Best Location JVC","50,000","Orchidea Residence, Jumeirah Village Circle (JVC), Dubai",Apartment,900 sqft,1,2
Most Luxurious 4BR With Maid | Brand New | 1 Month Free,"130,000","District 11, Jumeirah Village Circle (JVC), Dubai",Townhouse,"4,250 sqft",4,6
Splendid 2BR Villa With Maid | Big Garden } District 16,"115,000","District 16, Jumeirah Village Circle (JVC), Dubai",Villa,"2,985 sqft",2,4
Stunning and Beautiful One Bedroom Apartment | Just 43k,"43,000","The Manhattan, Jumeirah Village Circle (JVC), Dubai",Apartment,850 sqft,1,2
2 BEDROOM VILLA | BEAUTIFUL GARDEN | AFFORDABLE PRICE,"115,000","Nakheel Townhouse    , Jumeirah Village Circle (JVC), Dubai",Villa,"3,000 sqft",2,4
Italian Design Kitchen/ Modern Style 4BR Villa/Book Today,"159,999","Bloomingdale, Dubai Sports City, Dubai",Villa,"5,000 sqft",4,5
Single Row Park n Pool 4 bed in Dubai Hills Malple,"140,000","Maple At Dubai Hills Estate 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai",Villa,"2,387 sqft",4,4
Brand New 1B/R | Siemens Appliances Included,"72,000","Rosebay Living, Meydan Avenue, Meydan City, Dubai",Apartment,843 sqft,1,1
Amazing Opportunity to Live at City Walk,"125,000","City Walk, Jumeirah, Dubai",Apartment,"1,252 sqft",1,2
4BR Mediterranean - Ready - Spacious,"360,000","District One, Mohammad Bin Rashid City, Dubai",Villa,"6,356 sqft",4,5
Fully Furnished | Prestigious | Clean & Bright,"115,000","Limestone House, DIFC, Dubai",Apartment,"1,300 sqft",1,2
Amazing Location. Modern Design. Peaceful Life.,"115,000","Limestone House, DIFC, Dubai",Apartment,"1,173 sqft",1,2
Spacious 2BR | Ready to Move In,"108,000","Rosebay Living, Meydan Avenue, Meydan City, Dubai",Apartment,"1,464 sqft",2,2
Fully Furnished | Prestigious | Clean & Bright,"90,000","Index Tower, DIFC, Dubai",Apartment,968 sqft,1,2
NO AGENCY COMMISSION + 30 DAYS FREE | 4 Cheques,"95,000","Uptown Mirdif, Mirdif, Dubai",Apartment,"1,510 sqft",2,2
3 BR Duplex with Study Room in DSO,"127,000","Sunshine Residence, Dubai Silicon Oasis, Dubai",Apartment,"2,540 sqft",3,5
Fully Furnish Luxury 4Bedroom Villa For Rent in Al Barsha 3,"265,000","Al Barsha 3, Al Barsha, Dubai",Villa,"16,000 sqft",4,6
BRIGHT AND SPACIOUS 5 BEDROOM VILLA FOR RENT WITH POOL IN AL BARSHA2,"210,000","Al Barsha 2, Al Barsha, Dubai",Villa,"15,287 sqft",5,7
Eye Catching 4 B/R Villa with Sharing Facilities | Barsha First,"170,000","Casablanca 4, Al Barsha 1, Al Barsha, Dubai",Villa,"3,300 sqft",4,4
New Villa Near Pool and park 3 Bed Maid Single row,"100,000","Safi Townhouses, Town Square, Dubai",Villa,"2,143 sqft",3,4
OPP TO METRO! LARGE STUDIO WITH AMAZING VIEWS,"48,000","Lake Terrace, Jumeirah Lake Towers (JLT), Dubai",Apartment,570 sqft,null,1
Vacant | Fully Furnished | High Floor | Duplex | With Terrace,"144,990","Central Park Residence Tower, Central Park Towers, DIFC, Dubai",Apartment,"1,987 sqft",2,3
1 BR Now Available at Lowest Price of AED 40 K,"40,000","Diamond Views III, Diamond Views , Jumeirah Village Circle (JVC), Dubai",Apartment,724 sqft,1,1
Reduced Rent 1 Beautiful 2BR+Maid's 1 DIP,"63,999","Ritaj (Residential Complex), Dubai Investment Park (DIP), Dubai",Apartment,"1,536 sqft",2,4
Fabulous 2 B/R with Balcony | Building Facilities | Al Nahda 1,"65,000","H N Lootah 3 Building, Al Nahda 1, Al Nahda, Dubai",Apartment,"1,150 sqft",2,2
Creek View | Ready to Move in | Brand New,"84,999","Dubai Creek Residence Tower 2 North, Dubai Creek Harbour, The Lagoons, Dubai",Apartment,"1,261 sqft",2,2
"Upgraded 5 Bedroom Atrium, furnished option","370,000","Garden Homes Frond B, Garden Homes Palm Jumeirah, Palm Jumeirah, Dubai",Villa,"5,000 sqft",5,6
Brand New Studio | Apartment in Ghalia,"40,000","Ghalia Constella, Jumeirah Village Circle (JVC), Dubai",Apartment,489 sqft,null,1
Massive Living Area 1100+sq. ft. | Prime Location | JVC,"47,000","Spica Residential, Jumeirah Village Circle (JVC), Dubai",Apartment,"1,143 sqft",1,2
Exclusively Managed | Full Marina View,"170,000","Marina Gate 2, Marina Gate, Dubai Marina, Dubai",Apartment,"1,330 sqft",2,3
Exclusive! 14000 Sqft plot|3 Bed Legacy Large,"185,000","Legacy Large, Legacy, Jumeirah Park, Dubai",Villa,"14,000 sqft",3,4
TWO BEDROOM + MAID'S ROOM  LOWEST PRICE,"55,000","The Plaza Residences, Jumeirah Village Circle (JVC), Dubai",Apartment,"1,500 sqft",2,3
1BR - Large | Partial Golf View | Chiller Free,"43,000","Olympic Park 1, Olympic Park, Dubai Sports City, Dubai",Apartment,"1,007 sqft",1,2
Penthouse with pool in the heart of Business Bay,"250,000","Executive Towers, Business Bay, Dubai",Penthouse,"6,925 sqft",4,5
Best deal 4 bed Plus Maid for Rent in Dubai Hills,"135,000","Maple At Dubai Hills Estate 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai",Villa,"2,587 sqft",4,4
Big Offer//AC Free-2 Bed Apt Al Nahda Dubai Rent 55k Facilities,"55,000","Al Nahda 1, Al Nahda, Dubai",Apartment,"1,550 sqft",2,2
"Vacant, Impeccably Maintained, Close to Entrance","159,999","Green Community West, Green Community, Dubai",Villa,"4,347 sqft",4,5
AC CHILLER AND 30 DAYS FREE NEW 2BHK ALL AMENITIES IN 73K,"73,000","Al Rimmal Residence, Al Jaddaf, Bur Dubai, Dubai",Apartment,"1,390 sqft",2,3
4 Cheque Option Great Condition Kitchen Equipped Chiller Free Green Lakes Tower S2,"75,000","Green Lakes 1, Green Lakes, Jumeirah Lake Towers (JLT), Dubai",Apartment,"1,012 sqft",1,2
Nice Studio 34k 2month free 500sqft full facilities,"34,000","Binghatti Diamonds, Dubai Silicon Oasis, Dubai",Apartment,520 sqft,null,1
Stunning 4 Br Villa With Garden In Umm Suqeim 2,"175,000","Umm Suqeim 2, Umm Suqeim, Dubai",Villa,"4,500 sqft",4,5
Breathtaking Burj Views | Furnished | EXCLUSIVE 03,"124,999","The Address Residence Fountain Views, Downtown Dubai, Dubai",Apartment,810 sqft,1,1
Brand new 6 Bedroom Indp double storey villa with Service  block,"200,000","Al Barsha South 2, Al Barsha South, Al Barsha, Dubai",Villa,"9,000 sqft",6,6
Ready to move-in Apartments at Al Sima Tower,"65,000","Al Sima Tower, District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,"1,280 sqft",1,2
Largest Unit I Two Bedrooms I All Bills Included,"120,000","The Address Downtown Hotel (Lake Hotel), Downtown Dubai, Dubai",Apartment,929 sqft,1,2
BRAND NEW! 2BRS ! Garden and Water View!,"159,999","Bluewaters Residences, Bluewaters Island, Dubai",Apartment,"1,673 sqft",2,3
Corner Independent 4 Bed + Maids Villa | Al Garhoud,"140,000","Airport Road Area, Al Garhoud, Dubai",Villa,"3,800 sqft",4,4
Amazing Deal | 3BR | Huge Layout @ 110k | Close to Pool and Park,"110,000","Safi Townhouses, Town Square, Dubai",Townhouse,"2,201 sqft",3,4
